,Horse,current race,previous race
0,AETHERO(C336),551,231
1,AETHERO(C336),231,177
2,AETHERO(C336),177,095
3,AETHERO(C336),095,067
4,AETHERO(C336),067,776
5,AETHERO(C336),776,684
6,AETHERO(C336),684,574
7,AETHERO(C336),574,NA
0,AMAZING STAR(B019),508,451
1,AMAZING STAR(B019),451,379
2,AMAZING STAR(B019),379,263
3,AMAZING STAR(B019),263,182
4,AMAZING STAR(B019),182,532
5,AMAZING STAR(B019),532,465
6,AMAZING STAR(B019),465,413
7,AMAZING STAR(B019),413,758
8,AMAZING STAR(B019),758,628
9,AMAZING STAR(B019),628,326
10,AMAZING STAR(B019),326,276
11,AMAZING STAR(B019),276,163
12,AMAZING STAR(B019),163,091
13,AMAZING STAR(B019),091,NA
0,AMAZING BEATS(C507),516,442
1,AMAZING BEATS(C507),442,390
2,AMAZING BEATS(C507),390,312
3,AMAZING BEATS(C507),312,236
4,AMAZING BEATS(C507),236,NA
0,ASSIMILATE(C160),518,463
1,ASSIMILATE(C160),463,369
2,ASSIMILATE(C160),369,302
3,ASSIMILATE(C160),302,217
4,ASSIMILATE(C160),217,094
5,ASSIMILATE(C160),094,046
6,ASSIMILATE(C160),046,038
7,ASSIMILATE(C160),038,815
8,ASSIMILATE(C160),815,778
9,ASSIMILATE(C160),778,672
10,ASSIMILATE(C160),672,619
11,ASSIMILATE(C160),619,546
12,ASSIMILATE(C160),546,503
13,ASSIMILATE(C160),503,448
14,ASSIMILATE(C160),448,NA
0,ALL IN MIND(D200),573,517
1,ALL IN MIND(D200),517,482
2,ALL IN MIND(D200),482,439
3,ALL IN MIND(D200),439,371
4,ALL IN MIND(D200),371,306
5,ALL IN MIND(D200),306,NA
0,ALLIED AGILITY(C314),560,533
1,ALLIED AGILITY(C314),533,459
2,ALLIED AGILITY(C314),459,340
3,ALLIED AGILITY(C314),340,214
4,ALLIED AGILITY(C314),214,164
5,ALLIED AGILITY(C314),164,088
6,ALLIED AGILITY(C314),088,025
7,ALLIED AGILITY(C314),025,006
8,ALLIED AGILITY(C314),006,704
9,ALLIED AGILITY(C314),704,632
10,ALLIED AGILITY(C314),632,NA
0,AQUILA(C248),507,404
1,AQUILA(C248),404,310
2,AQUILA(C248),310,196
3,AQUILA(C248),196,130
4,AQUILA(C248),130,054
5,AQUILA(C248),054,798
6,AQUILA(C248),798,742
7,AQUILA(C248),742,576
8,AQUILA(C248),576,NA
0,AWE(D168),460,414
1,AWE(D168),414,368
2,AWE(D168),368,331
3,AWE(D168),331,NA
0,ALCARI(A354),506,461
1,ALCARI(A354),461,255
2,ALCARI(A354),255,232
3,ALCARI(A354),232,169
4,ALCARI(A354),169,096
5,ALCARI(A354),096,066
6,ALCARI(A354),066,019
7,ALCARI(A354),019,747
8,ALCARI(A354),747,627
9,ALCARI(A354),627,581
10,ALCARI(A354),581,544
11,ALCARI(A354),544,496
12,ALCARI(A354),496,476
13,ALCARI(A354),476,433
14,ALCARI(A354),433,374
15,ALCARI(A354),374,306
16,ALCARI(A354),306,153
17,ALCARI(A354),153,054
18,ALCARI(A354),054,806
19,ALCARI(A354),806,720
20,ALCARI(A354),720,628
21,ALCARI(A354),628,572
22,ALCARI(A354),572,534
23,ALCARI(A354),534,481
24,ALCARI(A354),481,390
25,ALCARI(A354),390,292
26,ALCARI(A354),292,244
27,ALCARI(A354),244,163
28,ALCARI(A354),163,091
29,ALCARI(A354),091,NA
0,AURORA PEGASUS(C351),378,322
1,AURORA PEGASUS(C351),322,188
2,AURORA PEGASUS(C351),188,137
3,AURORA PEGASUS(C351),137,081
4,AURORA PEGASUS(C351),081,014
5,AURORA PEGASUS(C351),014,798
6,AURORA PEGASUS(C351),798,761
7,AURORA PEGASUS(C351),761,NA
0,ACCLAIMED LIGHT(T369),543,490
1,ACCLAIMED LIGHT(T369),490,450
2,ACCLAIMED LIGHT(T369),450,412
3,ACCLAIMED LIGHT(T369),412,376
4,ACCLAIMED LIGHT(T369),376,318
5,ACCLAIMED LIGHT(T369),318,262
6,ACCLAIMED LIGHT(T369),262,206
7,ACCLAIMED LIGHT(T369),206,157
8,ACCLAIMED LIGHT(T369),157,104
9,ACCLAIMED LIGHT(T369),104,766
10,ACCLAIMED LIGHT(T369),766,680
11,ACCLAIMED LIGHT(T369),680,624
12,ACCLAIMED LIGHT(T369),624,568
13,ACCLAIMED LIGHT(T369),568,493
14,ACCLAIMED LIGHT(T369),493,418
15,ACCLAIMED LIGHT(T369),418,347
16,ACCLAIMED LIGHT(T369),347,289
17,ACCLAIMED LIGHT(T369),289,238
18,ACCLAIMED LIGHT(T369),238,197
19,ACCLAIMED LIGHT(T369),197,143
20,ACCLAIMED LIGHT(T369),143,740
21,ACCLAIMED LIGHT(T369),740,682
22,ACCLAIMED LIGHT(T369),682,637
23,ACCLAIMED LIGHT(T369),637,584
24,ACCLAIMED LIGHT(T369),584,537
25,ACCLAIMED LIGHT(T369),537,444
26,ACCLAIMED LIGHT(T369),444,395
27,ACCLAIMED LIGHT(T369),395,316
28,ACCLAIMED LIGHT(T369),316,234
29,ACCLAIMED LIGHT(T369),234,178
30,ACCLAIMED LIGHT(T369),178,106
31,ACCLAIMED LIGHT(T369),106,044
32,ACCLAIMED LIGHT(T369),044,NA
0,ANONYMA(C496),572,534
1,ANONYMA(C496),534,416
2,ANONYMA(C496),416,339
3,ANONYMA(C496),339,283
4,ANONYMA(C496),283,229
5,ANONYMA(C496),229,169
6,ANONYMA(C496),169,065
7,ANONYMA(C496),065,NA
0,AMAZING KIWI(D068),560,503
1,AMAZING KIWI(D068),503,489
2,AMAZING KIWI(D068),489,424
3,AMAZING KIWI(D068),424,349
4,AMAZING KIWI(D068),349,283
5,AMAZING KIWI(D068),283,226
6,AMAZING KIWI(D068),226,NA
0,AFRICAN SKY(C195),569,515
1,AFRICAN SKY(C195),515,482
2,AFRICAN SKY(C195),482,424
3,AFRICAN SKY(C195),424,360
4,AFRICAN SKY(C195),360,790
5,AFRICAN SKY(C195),790,712
6,AFRICAN SKY(C195),712,669
7,AFRICAN SKY(C195),669,NA
0,AMAZING CHOCOLATE(C059),500,456
1,AMAZING CHOCOLATE(C059),456,384
2,AMAZING CHOCOLATE(C059),384,073
3,AMAZING CHOCOLATE(C059),073,041
4,AMAZING CHOCOLATE(C059),041,005
5,AMAZING CHOCOLATE(C059),005,710
6,AMAZING CHOCOLATE(C059),710,657
7,AMAZING CHOCOLATE(C059),657,602
8,AMAZING CHOCOLATE(C059),602,537
9,AMAZING CHOCOLATE(C059),537,469
10,AMAZING CHOCOLATE(C059),469,427
11,AMAZING CHOCOLATE(C059),427,382
12,AMAZING CHOCOLATE(C059),382,311
13,AMAZING CHOCOLATE(C059),311,245
14,AMAZING CHOCOLATE(C059),245,215
15,AMAZING CHOCOLATE(C059),215,NA
0,ALPHA HEDGE(B102),504,460
1,ALPHA HEDGE(B102),460,422
2,ALPHA HEDGE(B102),422,568
3,ALPHA HEDGE(B102),568,492
4,ALPHA HEDGE(B102),492,418
5,ALPHA HEDGE(B102),418,362
6,ALPHA HEDGE(B102),362,317
7,ALPHA HEDGE(B102),317,278
8,ALPHA HEDGE(B102),278,181
9,ALPHA HEDGE(B102),181,080
10,ALPHA HEDGE(B102),080,039
11,ALPHA HEDGE(B102),039,001
12,ALPHA HEDGE(B102),001,761
13,ALPHA HEDGE(B102),761,690
14,ALPHA HEDGE(B102),690,640
15,ALPHA HEDGE(B102),640,615
16,ALPHA HEDGE(B102),615,NA
0,AMBITIOUS HEART(V303),432,263
1,AMBITIOUS HEART(V303),263,207
2,AMBITIOUS HEART(V303),207,111
3,AMBITIOUS HEART(V303),111,028
4,AMBITIOUS HEART(V303),028,813
5,AMBITIOUS HEART(V303),813,706
6,AMBITIOUS HEART(V303),706,631
7,AMBITIOUS HEART(V303),631,513
8,AMBITIOUS HEART(V303),513,459
9,AMBITIOUS HEART(V303),459,423
10,AMBITIOUS HEART(V303),423,345
11,AMBITIOUS HEART(V303),345,237
12,AMBITIOUS HEART(V303),237,178
13,AMBITIOUS HEART(V303),178,117
14,AMBITIOUS HEART(V303),117,032
15,AMBITIOUS HEART(V303),032,773
16,AMBITIOUS HEART(V303),773,678
17,AMBITIOUS HEART(V303),678,522
18,AMBITIOUS HEART(V303),522,471
19,AMBITIOUS HEART(V303),471,413
20,AMBITIOUS HEART(V303),413,338
21,AMBITIOUS HEART(V303),338,246
22,AMBITIOUS HEART(V303),246,166
23,AMBITIOUS HEART(V303),166,093
24,AMBITIOUS HEART(V303),093,021
25,AMBITIOUS HEART(V303),021,NA
0,AMAZING LUCK(B401),510,462
1,AMAZING LUCK(B401),462,406
2,AMAZING LUCK(B401),406,351
3,AMAZING LUCK(B401),351,303
4,AMAZING LUCK(B401),303,255
5,AMAZING LUCK(B401),255,187
6,AMAZING LUCK(B401),187,135
7,AMAZING LUCK(B401),135,086
8,AMAZING LUCK(B401),086,038
9,AMAZING LUCK(B401),038,749
10,AMAZING LUCK(B401),749,672
11,AMAZING LUCK(B401),672,602
12,AMAZING LUCK(B401),602,544
13,AMAZING LUCK(B401),544,487
14,AMAZING LUCK(B401),487,282
15,AMAZING LUCK(B401),282,226
16,AMAZING LUCK(B401),226,NA
0,ARES(D125),505,446
1,ARES(D125),446,257
2,ARES(D125),257,NA
0,ABOVE(B345),528,438
1,ABOVE(B345),438,342
2,ABOVE(B345),342,270
3,ABOVE(B345),270,202
4,ABOVE(B345),202,171
5,ABOVE(B345),171,125
6,ABOVE(B345),125,091
7,ABOVE(B345),091,807
8,ABOVE(B345),807,770
9,ABOVE(B345),770,734
10,ABOVE(B345),734,703
11,ABOVE(B345),703,648
12,ABOVE(B345),648,604
13,ABOVE(B345),604,571
14,ABOVE(B345),571,519
15,ABOVE(B345),519,479
16,ABOVE(B345),479,446
17,ABOVE(B345),446,388
18,ABOVE(B345),388,NA
0,ALL WONGCHOY(C278),523,446
1,ALL WONGCHOY(C278),446,227
2,ALL WONGCHOY(C278),227,119
3,ALL WONGCHOY(C278),119,083
4,ALL WONGCHOY(C278),083,511
5,ALL WONGCHOY(C278),511,NA
0,ALL YOU KNOW(A320),523,467
1,ALL YOU KNOW(A320),467,326
2,ALL YOU KNOW(A320),326,258
